Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -18.028930662660173, time: 66.822
steps: 49975, episodes: 2000, mean episode reward: -21.45558536281946, time: 112.844
steps: 74975, episodes: 3000, mean episode reward: -0.3113060650588588, time: 113.399
steps: 99975, episodes: 4000, mean episode reward: 6.357955391129375, time: 116.279
steps: 124975, episodes: 5000, mean episode reward: 18.611332771866785, time: 117.906
steps: 149975, episodes: 6000, mean episode reward: 24.388986828359936, time: 117.76
steps: 174975, episodes: 7000, mean episode reward: 31.93354344088925, time: 116.225
steps: 199975, episodes: 8000, mean episode reward: 37.199840803964804, time: 116.329
steps: 224975, episodes: 9000, mean episode reward: 30.367418046455132, time: 123.608
steps: 249975, episodes: 10000, mean episode reward: 30.76966323151916, time: 114.007
steps: 274975, episodes: 11000, mean episode reward: 35.786728619805885, time: 116.452
steps: 299975, episodes: 12000, mean episode reward: 40.89115396985082, time: 119.129
steps: 324975, episodes: 13000, mean episode reward: 44.089949845863394, time: 118.529
steps: 349975, episodes: 14000, mean episode reward: 42.352117766158614, time: 118.128
steps: 374975, episodes: 15000, mean episode reward: 37.85618652810456, time: 118.474
steps: 399975, episodes: 16000, mean episode reward: 37.99458156748147, time: 117.281
steps: 424975, episodes: 17000, mean episode reward: 37.451086885184736, time: 118.607
steps: 449975, episodes: 18000, mean episode reward: 32.39074612994247, time: 119.384
steps: 474975, episodes: 19000, mean episode reward: 42.672069344407774, time: 119.02
steps: 499975, episodes: 20000, mean episode reward: 43.37790324248983, time: 119.086
steps: 524975, episodes: 21000, mean episode reward: 41.35275442188212, time: 114.525
steps: 549975, episodes: 22000, mean episode reward: 35.77248251570755, time: 116.276
steps: 574975, episodes: 23000, mean episode reward: 32.59187245711341, time: 118.514
steps: 599975, episodes: 24000, mean episode reward: 31.495222902922617, time: 114.44
steps: 624975, episodes: 25000, mean episode reward: 37.29663389967746, time: 115.816
steps: 649975, episodes: 26000, mean episode reward: 42.32474204863122, time: 115.351
steps: 674975, episodes: 27000, mean episode reward: 47.231389298122, time: 111.775
steps: 699975, episodes: 28000, mean episode reward: 55.485964247124414, time: 114.931
steps: 724975, episodes: 29000, mean episode reward: 44.52800814723793, time: 117.629
steps: 749975, episodes: 30000, mean episode reward: 42.788896709154244, time: 117.975
steps: 774975, episodes: 31000, mean episode reward: 39.573911514385166, time: 116.978
steps: 799975, episodes: 32000, mean episode reward: 36.70576723919585, time: 116.107
steps: 824975, episodes: 33000, mean episode reward: 37.066768417701994, time: 118.027
steps: 849975, episodes: 34000, mean episode reward: 29.728456562381428, time: 116.598
steps: 874975, episodes: 35000, mean episode reward: 31.579887418833405, time: 118.123
steps: 899975, episodes: 36000, mean episode reward: 26.048713762635423, time: 119.284
steps: 924975, episodes: 37000, mean episode reward: 29.05954357160894, time: 110.97
steps: 949975, episodes: 38000, mean episode reward: 27.35798337145453, time: 117.068
steps: 974975, episodes: 39000, mean episode reward: 24.088489788615465, time: 115.479
steps: 999975, episodes: 40000, mean episode reward: 29.91238839557129, time: 111.143
steps: 1024975, episodes: 41000, mean episode reward: 30.992701636836088, time: 111.033
steps: 1049975, episodes: 42000, mean episode reward: 36.96088614923185, time: 118.622
steps: 1074975, episodes: 43000, mean episode reward: 39.21747738475585, time: 119.2
steps: 1099975, episodes: 44000, mean episode reward: 39.01938833124017, time: 116.182
steps: 1124975, episodes: 45000, mean episode reward: 43.812364491050445, time: 116.958
steps: 1149975, episodes: 46000, mean episode reward: 43.86200003908234, time: 118.87
steps: 1174975, episodes: 47000, mean episode reward: 46.45481115487113, time: 115.949
steps: 1199975, episodes: 48000, mean episode reward: 46.85355902935731, time: 112.357
steps: 1224975, episodes: 49000, mean episode reward: 50.84359406544154, time: 111.519
steps: 1249975, episodes: 50000, mean episode reward: 48.07632667483158, time: 111.942
steps: 1274975, episodes: 51000, mean episode reward: 50.49527435613645, time: 111.729
steps: 1299975, episodes: 52000, mean episode reward: 44.58006408630457, time: 117.032
steps: 1324975, episodes: 53000, mean episode reward: 46.3698064105413, time: 117.003
steps: 1349975, episodes: 54000, mean episode reward: 46.96146451974915, time: 118.159
steps: 1374975, episodes: 55000, mean episode reward: 49.046180848374675, time: 116.84
steps: 1399975, episodes: 56000, mean episode reward: 58.68129380293073, time: 117.091
steps: 1424975, episodes: 57000, mean episode reward: 63.07016120310557, time: 119.049
steps: 1449975, episodes: 58000, mean episode reward: 58.15321997953257, time: 117.67
steps: 1474975, episodes: 59000, mean episode reward: 57.45805196523253, time: 117.659
steps: 1499975, episodes: 60000, mean episode reward: 54.24214582556727, time: 114.616
steps: 1524975, episodes: 61000, mean episode reward: 54.65999163660804, time: 112.58
steps: 1549975, episodes: 62000, mean episode reward: 58.71306399434942, time: 112.401
steps: 1574975, episodes: 63000, mean episode reward: 58.20580943549433, time: 111.895
steps: 1599975, episodes: 64000, mean episode reward: 61.42160605300694, time: 112.479
steps: 1624975, episodes: 65000, mean episode reward: 44.68041913340904, time: 112.176
steps: 1649975, episodes: 66000, mean episode reward: 40.79010129873397, time: 112.33
steps: 1674975, episodes: 67000, mean episode reward: 46.0840238245365, time: 112.601
steps: 1699975, episodes: 68000, mean episode reward: 57.824461490949076, time: 112.605
steps: 1724975, episodes: 69000, mean episode reward: 66.27192175184408, time: 113.769
steps: 1749975, episodes: 70000, mean episode reward: 66.82790142518768, time: 112.319
steps: 1774975, episodes: 71000, mean episode reward: 68.3437559394604, time: 112.501
steps: 1799975, episodes: 72000, mean episode reward: 75.16312906322516, time: 113.972
steps: 1824975, episodes: 73000, mean episode reward: 82.01797977477074, time: 112.238
steps: 1849975, episodes: 74000, mean episode reward: 79.22561517959768, time: 111.834
steps: 1874975, episodes: 75000, mean episode reward: 76.22981193394514, time: 112.825
steps: 1899975, episodes: 76000, mean episode reward: 67.92570400229519, time: 112.984
steps: 1924975, episodes: 77000, mean episode reward: 62.540575375761044, time: 112.662
steps: 1949975, episodes: 78000, mean episode reward: 60.25479351749788, time: 111.975
steps: 1974975, episodes: 79000, mean episode reward: 61.10374233380603, time: 112.411
steps: 1999975, episodes: 80000, mean episode reward: 61.208289841794276, time: 112.707
steps: 2024975, episodes: 81000, mean episode reward: 62.76696432994965, time: 111.741
steps: 2049975, episodes: 82000, mean episode reward: 65.7642783751928, time: 112.207
steps: 2074975, episodes: 83000, mean episode reward: 71.03243670774054, time: 112.497
steps: 2099975, episodes: 84000, mean episode reward: 79.44700741968208, time: 113.132
steps: 2124975, episodes: 85000, mean episode reward: 75.10484913542997, time: 111.894
steps: 2149975, episodes: 86000, mean episode reward: 70.09573423612436, time: 111.565
steps: 2174975, episodes: 87000, mean episode reward: 55.85990869707742, time: 112.953
steps: 2199975, episodes: 88000, mean episode reward: 54.36117536218581, time: 112.343
steps: 2224975, episodes: 89000, mean episode reward: 52.39284428709308, time: 112.226
steps: 2249975, episodes: 90000, mean episode reward: 51.37897242144606, time: 113.264
steps: 2274975, episodes: 91000, mean episode reward: 53.99770804216994, time: 112.817
steps: 2299975, episodes: 92000, mean episode reward: 45.04585376395208, time: 112.958
steps: 2324975, episodes: 93000, mean episode reward: 40.4890448507002, time: 111.853
steps: 2349975, episodes: 94000, mean episode reward: 47.47907549807267, time: 112.004
steps: 2374975, episodes: 95000, mean episode reward: 45.893514301052605, time: 113.05
steps: 2399975, episodes: 96000, mean episode reward: 40.36339570444302, time: 113.522
steps: 2424975, episodes: 97000, mean episode reward: 37.338035580185775, time: 112.181
steps: 2449975, episodes: 98000, mean episode reward: 37.724321307318945, time: 111.701
steps: 2474975, episodes: 99000, mean episode reward: 36.45201329306112, time: 112.767
steps: 2499975, episodes: 100000, mean episode reward: 40.15338380518058, time: 113.52
steps: 2524975, episodes: 101000, mean episode reward: 36.20804199524941, time: 111.796
steps: 2549975, episodes: 102000, mean episode reward: 35.69341180008657, time: 112.78
